key,doi,year,venue,citations,questions,ranks,title,abstract
doi:10.59720/24-305,10.59720/24-305,2025,Journal of emerging investigators,0,q2,q2:210:8.0*,Predicting the spread speed of red imported fire ants under different temperature conditions in China,"Red imported fire ants (RIFA, Solenopsis invicta Buren), are invasive species that have strong negative impacts on ecosystems and human society. Since the invasion of Chinese Mainland in 2004, the average annual spread rate of RIFA in southern China has exceeded 26.5 km, showing a rapid expansion trend. Given that this species has two spread pathways - natural expansion (nuptial flight and nest migration) and human-mediated transmission (horticultural plant transfers, etc.), we hypothesized that natural mechanisms alone cannot account for the observed spread rate, and human activity induced transmission should be the dominant factor in its high spread rate. To test this hypothesis, we developed a mathematical model based on nuptial flight to simulate the natural spread process. We inputted historical temperature data from seven representative Chinese cities into this model. Simulations revealed a natural spread rate of merely 1.4-7.0 km/year, lower than the observed actual speed (26.5-48.1 km/year). This simulation result indicates that human-mediated transmission may be the main reason for the rapid spread in southern China."
doi:10.1109/cscwd57460.2023.10152787,10.1109/cscwd57460.2023.10152787,2023,International Conference on Computer Supported Cooperative Work in Design,0,q2,q2:211:8.0*,An Epidemic Model Based on Intra- and Inter-group Interactions,"The global spread of COVID-19 causes great losses to human society. Accurate calculation of the scale of epidemic spread is of great significance for the implementation of corresponding epidemic prevention measures. However, the existing method ignores the group formed by social relations of the population, which reduces the accuracy of the epidemic spread number calculation. In this paper, we propose an epidemic model based on intra- and inter-group interactions. Firstly, we construct a dual network model of epidemic spread based on intra- and inter-group interactions. The network describes how epidemics spread intra- and inter-group. To capture the intergroup influences, we construct a model for social mobility to calculate the inter-group spread rate. Secondly, we propose a computational model for the epidemic spread. We calculate the infection probability of groups in the upper layer network by using a continuous-time Markov chain (CTMC). We describe a dynamic evolution of the intra-group infection in the underlying network based on the mean field equation. And the number of infections in the population is calculated by integrating intra- and inter-group effects. Finally, we implement an epidemic spread simulation system to visualize the spread process. The experimental results show that the model can analyze the epidemic spread process more accurately."
doi:10.11591/ijai.v13.i3.pp2808-2815,10.11591/ijai.v13.i3.pp2808-2815,2024,IAES International Journal of Artificial Intelligence (IJ-AI),0,q2,q2:212:8.0*,Fuzzy logic for the management of vaccination during pandemics: A spread-rate-based approach,"Pandemics, such as coronavirus disease COVID-19 are known to cause massive damage to the world's economic growth and their impacts are serious and influence across every aspect of social structure. The most inevitable factor in responding to the disaster of pandemics is the right management in terms of allocating a limited vaccine supply. The focus of this research work is to utilize a fuzzy logic inference system in the allocation of vaccine doses to the regional authorities by a central authority. The objective is obtained by designing a system based on fuzzy logic that considers the spread rate as the input to infer the vaccination rate of the local population. This system makes it possible for sufficient doses of vaccines to be allotted to the prioritized regions where the severity of the spread rate is a concern and vaccines are not held up in regions where the severity of the spread rate is lesser. The designed system is verified using MATLAB software, which shows that this method can ensure an effective and efficient allocation of vaccination in the local regions and aid the fight against the disastrous spread of the disease."
doi:10.14719/pst.8722,10.14719/pst.8722,2025,Plant Science Today,0,q2,q2:213:8.0*,In vitro shoot regeneration potential of water hyacinth (Eichhornia crassipes [Mart.] Solms): A study on an invasive aquatic weed,"Water hyacinth (Eichhornia crassipes [Mart.] Solms) is a fast-growing aquatic plant recognized as a highly invasive weed, posing substantial economic, ecological and social threats. This study evaluates the invasive spread rate of water hyacinth through the plant tissue culture method - culturing the apical and lateral buds separately at different stages to investigate the regenerative ability of Eichhornia crassipes. [Mart.] Solms shoots. Additionally, this study evaluated the potential for sexual reproduction from water hyacinth seeds at different stages. After four weeks of culture, a double-layered MS medium (solid agar base with a liquid overlay) under aerobic conditions, supplemented with 0.75 mg/L benzyladenine (BA) and 0.25 mg/L naphthalene acetic acid (NAA), was found to be optimal for in vitro growth of water hyacinth buds and seeds. The invasive spread rate of water hyacinth is based on both vegetative propagation from buds and sexual reproduction from seeds. The strongest regeneration from the apical buds and axillary buds with stolon and rootlets reached the highest rate of 60 %. The highest germination reached 40 % from water hyacinth fruit at stage 4 - the stage when the flower turns dark brown."
doi:10.1101/2020.08.24.20181107,10.1101/2020.08.24.20181107,2020,medRxiv,0,q2,q2:214:8.0*,A Behavioral Multispread Epidemic Model,"We introduce a class of epidemic models that represent multiple spread rates in terms of discrete behavior classes, rather than in terms of discrete compartments comprising individuals. The model is framed in terms of D behavior classes, each with its own spread rate. The population is represented as a density on the D-simplex, where each point is a D-vector f whose components sum to 1. Each component of f represents the fraction of time in which an individual spends engaging in the corresponding behavior. The evolution equation is an integro-differential equation on the D-simplex. The model is capable of describing the ""superspreader"" phenomenon in terms of behavior spread rates, as opposed to terms of individual infectivity. We show the existence of SIR-like separable solutions and discuss their stability. We explore the numeric properties of the model using a D=3 case featuring a ""safe"" behavior, a moderate-spread behavior, and a superspread behavior."
doi:10.1080/17843286.2021.1899695,10.1080/17843286.2021.1899695,2021,Acta Clinica Belgica,0,q2,q2:215:8.0*,Moderate forms of COVID-19 among healthcare workers in a Belgian hospital and their immune response,"ABSTRACT Introduction Healthcare professionals have been treating patients with COVID-19 since the pandemic started in early 2020 while also trying to limit disease spread among their coworkers and communities. This study aimed to identify and follow potentially infected healthcare workers in one hospital in order to develop an epidemiological baseline for COVID-19 infection and spread rates in this population. Materials and methods This prospective study was conducted between 1 April and 30 June 2020 at a single Belgian hospital. Healthcare workers with symptoms consistent with COVID-19 were included. Participants underwent testing for SARS-CoV-2 infection by nasopharyngeal (NP) swab and analysis of blood samples for antibody response at different timepoints (day 0, 7, 14 and day 30 or 60). Patient exposures, symptoms, and disease progression were collected. Results Of a total of 150 healthcare workers with symptoms compatible with SARS-CoV-2 infection, 31% (47) tested positive for the virus by NP swab. Of the 47 participants with positive NP swabs, 66% also had positive IgG serology. Of the 99 participants with negative NP swabs who underwent blood sample collection, 5% had positive IgG serology results. Of the 29 participants who presented with at least 3 major symptoms, 15 (52%) had positive NP swabs and 14 (48%) had positive serology. Conclusions This study demonstrates that evidence of symptoms, even when major, is a poor predictor for SARS-CoV-2 positivity in health ca"
doi:10.1007/s10980-025-02094-0,10.1007/s10980-025-02094-0,2025,Landscape Ecology,0,q2,q2:216:8.0*,"The relative influence of habitat density, landscape configuration and spatial sorting on population expansion: a simulation test","Population expansion into new areas is a common phenomenon resulting from changes in ecological conditions or human-assisted introduction. In the latter case, populations spread into areas where they did not evolve causing various ecological and socio-economic impacts. Spatial sorting (i.e. the enhanced dispersal capacity over time at the periphery of an expanding range) and landscape are two major factors affecting spread dynamics in expanding populations. While both factors have been frequently studied independently, their relative influence to modulate the spread rate of expanding populations has been significantly unexplored. We addressed this issue through a modeling approach. We simulated the spread of an invasive amphibian, Xenopus laevis, in various landscape windows within and around its colonized ranges in western France. Using UNICOR, we ran colonization simulations on 30 km × 30 km windows of an experimentally parameterized resistance layer at three intensities of spatial sorting. Habitat (pond) density and spatial sorting positively affected the rate of population expansion in the windows and interacted: higher spatial sorting and pond density increased the invaded area, number of colonized ponds, and maximal traveled distance per time unit. In contrast, none of the four landscape configuration metrics improved the models, suggesting that they have limited influence on population expansion. Thus, the effect of spatial sorting on population spread was enhanced by "
doi:10.3390/sym18020279,10.3390/sym18020279,2026,Symmetry,0,q2,q2:217:8.0*,Solution Dynamics of the (1 + 1)-Dimensional Fisher’s Equation Using Lie Symmetry Analysis,"Reaction–diffusion equations provide a fundamental framework for modelling spatial population dynamics and invasion processes in mathematical biology. Among these, Fisher’s equation combines diffusion with logistic growth to describe the spread of an advantageous gene and the formation of travelling population fronts. In this work, we investigate the one-dimensional Fisher’s equation using Lie symmetry analysis to obtain a deeper analytical understanding of its wave propagation behaviour. The Lie point symmetries of the partial differential equation are derived and used to construct similarity variables that reduce Fisher’s equation to ordinary differential equations. These reduced equations are then solved by a combination of direct integration and the tanh method, yielding explicit invariant and travelling-wave solutions. Symbolic computations in MAPLE are employed to compute the symmetries, verify the reductions, and generate illustrative plots of the resulting wave profiles. The computed solutions capture sigmoidal fronts connecting stable and unstable steady states, providing clear information about wave speed and shape. Overall, this study demonstrates that Lie group methods, combined with hyperbolic-function techniques, offer a powerful and systematic approach for analysing Fisher-type reaction–diffusion models and interpreting their biologically relevant invasion dynamics."
doi:10.1016/j.jmaa.2025.129411,10.1016/j.jmaa.2025.129411,2025,Journal of Mathematical Analysis and Applications,0,q2,q2:219:8.0*,Cholera invasion speed and the intervention strength,"We formulate a mathematical model which captures the essential dynamics of cholera infection transmission. Control interventions such as vaccination program and environmental sanitation service are incorporated to analyse the impact of both interventions on the infection dynamics. The qualitative and numerical analyses of the model are carried out. Through these analyses, a great attention is brought to certain uncommonly used infection features such as invasion speed of an infection which historically has been ignored by infectious disease modellers. The analyses of these key model parameters not only reveal the required intervention strength needed to curb the infection spread but also indicate which either control intervention should be prioritised. The numerical results approve the qualitative findings and promise an infection free population, should the control intervention speed be greater than the invasion speed of the infection. • A mathematical model describing cholera dynamics is derived. • Vaccination and environmental sanitation are control interventions. • The model analysis is carried out and cholera invasion speed is investigated. • Pre-infection intervention strength and post-infection intervention speed are derived. • A post-infection intervention speed greater than the invasion speed would interrupt the infection."
doi:10.1080/10236198.2020.1862809,10.1080/10236198.2020.1862809,2021,,3,q2,q2:21:14.14*,Propagation threshold in an integrodifference predator–prey system of Leslie–Gower type,"In this paper, we study the propagation threshold in an integrodifference predator–prey system of Leslie–Gower type. A propagation threshold is defined. We first prove that the threshold is the minimal wave speed of travelling wave solutions modelling the spatial invasion process of the predator. Furthermore, when the initial condition in the corresponding initial value problem reflects that the predator is the invader while the prey is the resident species, we confirm that the threshold is the spreading speed of the predator."
doi:10.1101/013680,10.1101/013680,2015,bioRxiv (Cold Spring Harbor Laboratory),0,q2,q2:220:8.0*,Evolutionary processes make invasion speed difficult to predict,"1 Abstract A capacity to predict the spread rate of populations is critical for understanding the impacts of climate change and invasive species. Despite sophisticated theory describing how populations spread, the prediction of spread rate remains a formidable challenge. As well as the inherent stochasticity in the spread process, spreading populations are subject to strong evolutionary forces (operating on dispersal and reproductive rates) that can cause accelerating spread. Despite these strong evolutionary forces, serial founder events and drift on the expanding range edge mean that evolutionary trajectories in the invasion vanguard may be highly stochastic. Here I develop a model of spatial spread in continuous space that incorporates evolution of continuous traits under a quantitative genetic model of inheritance. I use this model to investigate the potential role of evolution on the variation in spread rate between replicate model realisations. Models incorporating evolution exhibited more than four times the variance in spread rate across replicate invasions compared with nonevolving scenarios. Results suggest that the majority of this increase in variation is driven by evolutionary stochasticity on the invasion front rather than initial founder events: in many cases evolutionary stochasticity on the invasion front contributed more than 90% of the variance in spread rate over 30 generations. Our uncertainty around predicted spread rates - whether for invasive species o"
doi:10.6084/m9.figshare.3522662,10.6084/m9.figshare.3522662,2016,Figshare,0,q2,q2:221:8.0*,Appendix B. A description of the definitions and methods for invasion speeds.,A description of the definitions and methods for invasion speeds.
ttl:multipleinvasionspeedsinacompetitiondiffusionmodelwiththreespecies,,2019,arXiv (Cornell University),0,q2,q2:222:8.0*,Multiple invasion speeds in a competition-diffusion model with three species,
doi:10.6084/m9.figshare.5146609,10.6084/m9.figshare.5146609,2017,Figshare,0,q2,q2:223:8.0*,Additional file 2: of Evolving mutation rate advances the invasion speed of a sexual species,A simple analytical approach to calculate optimal mutation rates. Simple analytical approach showing fitness effects of different mutation rates (PDF 429 kb)
doi:10.6084/m9.figshare.5146609.v1,10.6084/m9.figshare.5146609.v1,2017,Figshare,0,q2,q2:224:8.0*,Additional file 2: of Evolving mutation rate advances the invasion speed of a sexual species,A simple analytical approach to calculate optimal mutation rates. Simple analytical approach showing fitness effects of different mutation rates (PDF 429 kb)
doi:10.2139/ssrn.5675995,10.2139/ssrn.5675995,2025,SSRN Electronic Journal,0,q2,q2:225:8.0*,Effective transport and minimal invasion speed in a vector–host model of Cassava Mosaic Disease with partial cross protection,
doi:10.2139/ssrn.5667041,10.2139/ssrn.5667041,2025,SSRN Electronic Journal,0,q2,q2:226:8.0*,Effective transport and minimal invasion speed in a vector–host model of Cassava Mosaic Disease with partial cross protection,
doi:10.5287/ora-o02rexdbm,10.5287/ora-o02rexdbm,2016,Oxford University Research Archive (ORA) (University of Oxford),0,q2,q2:227:8.0*,Modelling species invasions in heterogeneous landscapes,"Biological invasions are devastating ecosystems and economies world-wide, while many native species' survival depends on their ability to track climate change. Characterising the spread of biological populations is therefore of utmost importance, and can be studied with spatially explicit, discrete-time integrodifference equations (IDEs), which reflect numerous species' processes of demography and dispersal. While spatial variation has often been ignored when implementing IDE models, real landscapes are rarely spatially uniform and environmental variation is crucial in determining biological spread. To address this, we use novel methods to characterise population spread in heterogeneous landscapes. Asymptotic analysis is used for highly fragmented landscapes, where habitat patches are isolated and smaller than the dispersal scale, and in landscapes with low environmental variation, where the ecological parameters vary by no more than a small factor from their mean values. We find that the choice of dispersal kernel determines the effect of landscape structure on spreading speed, indicating that accurately fitting a kernel to data is important in accurately predicting speed. For the low-variation case, the spreading speeds in the heterogeneous and homogeneous landscapes differ by &amp;straightepsilon;<sup>2</sup>, where &amp;straightepsilon; governs the degree of variation, suggesting that in many cases, a simpler homogeneous model gives similar spread rates. For irregular lan"
doi:10.5281/zenodo.19401020,10.5281/zenodo.19401020,2026,Zenodo (CERN European Organization for Nuclear Research),0,q2,q2:228:8.0*,Nonlocal Diffusion Models for Cancer Invasion: A Mathematical Analysis,"The invasion of cancer is a complicated biological process that is regulated by the interactions between different types of cells and the microenvironment of the tumor. Traditional models of local diffusion sometimes fail to account for long-range cell migration and nonlocal interactions, both of which play an important part in the evolution of tumors because of their importance. As part of this research, nonlocal diffusion models are developed and analyzed in order to provide a description of cancer cell invasion. These models incorporate integral operators in order to reflect spatially extended interactions between cells and the extracellular matrix. In this study, we evaluate the effect of nonlocal diffusion factors on tumor spread patterns by employing mathematical analytic techniques such as stability, well-posedness, and numerical simulations. In addition to providing a greater understanding of the dynamics of cancer progression, the findings reveal that nonlocal impacts have the potential to drastically affect invasion speed, morphology, and the establishment of diverse tumor fronts. In light of these discoveries, the potential of nonlocal mathematical models as predictive tools for understanding and managing cancer invasion has been brought to light. This lays the groundwork for more precise therapeutic tactics."
doi:10.5281/zenodo.19401021,10.5281/zenodo.19401021,2026,Zenodo (CERN European Organization for Nuclear Research),0,q2,q2:229:8.0*,Nonlocal Diffusion Models for Cancer Invasion: A Mathematical Analysis,"The invasion of cancer is a complicated biological process that is regulated by the interactions between different types of cells and the microenvironment of the tumor. Traditional models of local diffusion sometimes fail to account for long-range cell migration and nonlocal interactions, both of which play an important part in the evolution of tumors because of their importance. As part of this research, nonlocal diffusion models are developed and analyzed in order to provide a description of cancer cell invasion. These models incorporate integral operators in order to reflect spatially extended interactions between cells and the extracellular matrix. In this study, we evaluate the effect of nonlocal diffusion factors on tumor spread patterns by employing mathematical analytic techniques such as stability, well-posedness, and numerical simulations. In addition to providing a greater understanding of the dynamics of cancer progression, the findings reveal that nonlocal impacts have the potential to drastically affect invasion speed, morphology, and the establishment of diverse tumor fronts. In light of these discoveries, the potential of nonlocal mathematical models as predictive tools for understanding and managing cancer invasion has been brought to light. This lays the groundwork for more precise therapeutic tactics."
doi:10.3389/fams.2026.1791613,10.3389/fams.2026.1791613,2026,Frontiers Appl. Math. Stat.,1,q2,q2:22:14.07*,Effective transport and minimal invasion speed in a vector-host model of cassava mosaic disease with partial cross-protection," Cassava mosaic disease (CMD) can spread across agricultural landscapes through whitefly-mediated transmission, creating invasion fronts whose speed is governed by vector movement and survival. Motivated by mild-strain cross-protection as a management tool, we formulated a spatially explicit vector–host model that couples plant infection dynamics with vector advection–diffusion and includes a protected plant class representing partial cross-protection. We derived an explicit invasion threshold R 0 and showed that cross-protection enters through an effective susceptible fraction. For linearly determined (pulled) fronts, we characterized the minimal invasion speed and identified effective drift and diffusion weights that aggregate transport across the coupled host–vector system; near threshold, the speed scales with R 0 − 1 through the leading-edge growth rate. We computed monotone traveling waves numerically and found close agreement between observed wave speeds and the pulled-speed prediction in the parameter regime considered. The analysis highlights how increasing vector mortality, improving protection efficacy, and strengthening roguing can either prevent invasion ( R 0 < 1) or slow spatial spread. Here, we also discuss limitations relevant to field deployment, including human-mediated movement of infected cuttings, temporally varying wind conditions, and episodic planting and harvest. "
doi:10.5281/zenodo.19413376,10.5281/zenodo.19413376,2026,Zenodo (CERN European Organization for Nuclear Research),0,q2,q2:230:8.0*,Nonlocal Diffusion Models for Cancer Invasion: A Mathematical Analysis,"The invasion of cancer is a complicated biological process that is regulated by the interactions between different types of cells and the microenvironment of the tumor. Traditional models of local diffusion sometimes fail to account for long-range cell migration and nonlocal interactions, both of which play an important part in the evolution of tumors because of their importance. As part of this research, nonlocal diffusion models are developed and analyzed in order to provide a description of cancer cell invasion. These models incorporate integral operators in order to reflect spatially extended interactions between cells and the extracellular matrix. In this study, we evaluate the effect of nonlocal diffusion factors on tumor spread patterns by employing mathematical analytic techniques such as stability, well-posedness, and numerical simulations. In addition to providing a greater understanding of the dynamics of cancer progression, the findings reveal that nonlocal impacts have the potential to drastically affect invasion speed, morphology, and the establishment of diverse tumor fronts. In light of these discoveries, the potential of nonlocal mathematical models as predictive tools for understanding and managing cancer invasion has been brought to light. This lays the groundwork for more precise therapeutic tactics."
doi:10.5281/zenodo.19413377,10.5281/zenodo.19413377,2026,Zenodo (CERN European Organization for Nuclear Research),0,q2,q2:231:8.0*,Nonlocal Diffusion Models for Cancer Invasion: A Mathematical Analysis,"The invasion of cancer is a complicated biological process that is regulated by the interactions between different types of cells and the microenvironment of the tumor. Traditional models of local diffusion sometimes fail to account for long-range cell migration and nonlocal interactions, both of which play an important part in the evolution of tumors because of their importance. As part of this research, nonlocal diffusion models are developed and analyzed in order to provide a description of cancer cell invasion. These models incorporate integral operators in order to reflect spatially extended interactions between cells and the extracellular matrix. In this study, we evaluate the effect of nonlocal diffusion factors on tumor spread patterns by employing mathematical analytic techniques such as stability, well-posedness, and numerical simulations. In addition to providing a greater understanding of the dynamics of cancer progression, the findings reveal that nonlocal impacts have the potential to drastically affect invasion speed, morphology, and the establishment of diverse tumor fronts. In light of these discoveries, the potential of nonlocal mathematical models as predictive tools for understanding and managing cancer invasion has been brought to light. This lays the groundwork for more precise therapeutic tactics."
doi:10.5281/zenodo.18192945,10.5281/zenodo.18192945,2019,Zenodo (CERN European Organization for Nuclear Research),0,q2,q2:232:8.0*,"Abundance, distribution and spread of the invasive Asian toad Duttaphrynus melanostictus in eastern Madagascar","(Uploaded by Plazi for the IPBES Invasive Alien Species Assessment) The Asian toad, Duttaphrynus melanostictus, was accidentally introduced to Toamasina (eastern Madagascar) around 2010, and since then has spread at a substantial rate across a larger area. This study documents the expansion of the invasive range of this species, calculates the invasion spread rate, and provides estimates of toad abundance and habitat preferences. Updates of the distribution range revealed a fivefold increase of the invaded area over 3 years, and a doubling of the rate of spread, showing a shift of the invasion towards the North-West, most probably because of the absence of ecological barriers. We used N-mixture models to estimate toad abundance on the basis of repeated count data of six areas in Toamasina and its surrounding countryside. Toad distribution shows heterogeneous density across the distribution range, with an average abundance of 184 toads ha−1 (95% CI 132–263). The toad's abundance was highest in sites with the presence of organic waste, and was negatively related to the density of road networks in the proximity of study sites. The rapid expansion of the Asian toad in the Toamasina region suggests that this toad is an increasing threat for Madagascar. We propose immediate management actions that could limit the spread of alien toads in this megadiverse country."
doi:10.5281/zenodo.18192944,10.5281/zenodo.18192944,2019,Zenodo (CERN European Organization for Nuclear Research),0,q2,q2:233:8.0*,"Abundance, distribution and spread of the invasive Asian toad Duttaphrynus melanostictus in eastern Madagascar","(Uploaded by Plazi for the IPBES Invasive Alien Species Assessment) The Asian toad, Duttaphrynus melanostictus, was accidentally introduced to Toamasina (eastern Madagascar) around 2010, and since then has spread at a substantial rate across a larger area. This study documents the expansion of the invasive range of this species, calculates the invasion spread rate, and provides estimates of toad abundance and habitat preferences. Updates of the distribution range revealed a fivefold increase of the invaded area over 3 years, and a doubling of the rate of spread, showing a shift of the invasion towards the North-West, most probably because of the absence of ecological barriers. We used N-mixture models to estimate toad abundance on the basis of repeated count data of six areas in Toamasina and its surrounding countryside. Toad distribution shows heterogeneous density across the distribution range, with an average abundance of 184 toads ha−1 (95% CI 132–263). The toad's abundance was highest in sites with the presence of organic waste, and was negatively related to the density of road networks in the proximity of study sites. The rapid expansion of the Asian toad in the Toamasina region suggests that this toad is an increasing threat for Madagascar. We propose immediate management actions that could limit the spread of alien toads in this megadiverse country."
doi:10.36334/modsim2025.f05.sharp,10.36334/modsim2025.f05.sharp,2026,,0,q2,q2:234:8.0*,Modelling spread of invasive organisms as part of a New Zealand Biosecurity Risk Evaluation Framework,"It is critical that New Zealand's (NZ) plant-based industries prepare for incursions of exotic pests, but it is infeasible to prepare for every potential pest species as they are too numerous.To help prioritise threats and support preparedness, a Biosecurity Risk Evaluation Framework was developed to identify species with the greatest potential to establish in NZ and cause significant economic impacts.Here we present one component of that framework, a stochastic geographic automaton, which estimates the rate of spread of a particular pest using climatic data, host distribution records and species-specific estimates of potential spread rates.We give examples of model outcomes for two exemplar insect pests of Pinus radiata."
doi:10.1594/pangaea.833752,10.1594/pangaea.833752,2014,Figshare,0,q2,q2:235:8.0*,"Spatial database of canopy plant densities created from satellite images over Galapagos in 2011, with intent to manage invasive species","Mapping is an important tool for the management of plant invasions. If landscapes are mapped in an appropriate way, results can help managers decide when and where to prioritize their efforts. We mapped vegetation with the aim of providing key information for managers on the extent, density and rates of spread of multiple invasive species across the landscape. Our case study focused on an area of Galapagos National Park that is faced with the challenge of managing multiple plant invasions. We used satellite imagery to produce a spatially-explicit database of plant species densities in the canopy, finding that 92% of the humid highlands had some degree of invasion and 41% of the canopy was comprised of invasive plants. We also calculated the rate of spread of eight invasive species using known introduction dates, finding that species with the most limited dispersal ability had the slowest spread rates while those able to disperse long distances had a range of spread rates. Our results on spread rate fall at the lower end of the range of published spread rates of invasive plants. This is probably because most studies are based on the entire geographic extent, whereas our estimates took plant density into account. A spatial database of plant species densities, such as the one developed in our case study, can be used by managers to decide where to apply management actions and thereby help curtail the spread of current plant invasions. For example, it can be used to identify sites"
doi:10.1101/2025.08.26.672437,10.1101/2025.08.26.672437,2025,bioRxiv (Cold Spring Harbor Laboratory),0,q2,q2:236:8.0*,"Symmetry and similarity in eco-evo: advective environments, dispersal, and climate change","A bstract I investigate effects of directional advective dispersal on eco-evolutionary invasion speeds, in either constant environmental gradients or under directional environmental change. I build upon a spatially-explicit phenotypic model that I have previously presented. The model incorporates both phenotypic sorting and gene swamping, and is used to study constant advective dispersal and trait-based habitat choice. Through analytical arguments on characteristic lengths and speeds, as well as by direct numerical solutions, I find that, in eco-evo scenarios, advective dispersal has two opposing effects on invasion fronts. In shallow environmental gradients, the demographic effect of simply adding to the steady-state invasion speed dominates. As gradients get steeper, asymmetric gene flow, due to advective dispersal, becomes increasingly stronger, pulling the invasion front in an opposite direction. Steep gradients cause front reversals, where species ranges, counter-intuitively, slide upstream. Symmetry between velocity of advective dispersal and velocity of climate change leads to adaptation lags, abundance profiles, and invasion speeds that depend only on the velocity difference. Through characteristic lengths and speeds, I also identify similarity between demographic and evolutionary averaging or tracking of environmental heterogeneity. I connect climate change research to demographic models of persistence in advective environments — the so-called drift paradox. I additi"
doi:10.48550/arxiv.2109.11985,10.48550/arxiv.2109.11985,2021,arXiv (Cornell University),0,q2,q2:237:8.0*,Epidemic spreading on complex networks as front propagation into an unstable state,"We study epidemic arrival times in meta-population disease models through the lens of front propagation into unstable states. We demonstrate that several features of invasion fronts in the PDE context are also relevant to the network case. We show that the susceptible-infected-recovered model on a network is linearly determined in the sense that the arrival times in the nonlinear system are approximated by the arrival times of the instability in the system linearized near the disease free state. Arrival time predictions are extended to an susceptible-exposed-infected-recovered model. We then study a recent model of social epidemics where high order interactions of individuals lead to faster invasion speeds. For these pushed fronts we compute corrections to the estimated arrival time in this case. Finally, we show how inhomogeneities in local infection rates lead to faster average arrival times."
doi:10.5287/ora-j1obmp9vg,10.5287/ora-j1obmp9vg,2026,Oxford University Research Archive (ORA) (University of Oxford),0,q2,q2:238:8.0*,The role of phenotypic heterogeneity in collective cell migration,"Understanding collective cell migration requires robust mathematical models that effectively bridge the gap between individual cell behaviours and population-level dynamics. This thesis develops and analyses a suite of mathematical models for cell invasion into extracellular matrix (ECM), that are systematically derived from individual-based frameworks to ensure consistency in the inclusion of key biological mechanisms. Beginning with a single cell type, a volume-filling framework is introduced that accounts for spatial constraints imposed by both cells and ECM. These effects are incorporated coherently across all migration and proliferation processes to investigate their influence on invasion speed and wave structure by comparison to existing models in the literature. To further these insights, a variational principle approach is developed through the lens of optimal control theory, that characterises a new and improved lower bound on the speed of cell invasion in multi-species systems.<br><br>Building on the homogeneous foundation, the volume-filling model developed initially is then extended to incorporate phenotypic heterogeneity. Firstly, by introducing two distinct sub-populations: one specialising in movement and ECM degradation, and the other in proliferation. Secondly, by replacing discrete phenotypes with a continuum of states, allowing for a more flexible representation of phenotypic variation across diverse biological contexts, including tumour invasion and immune"
doi:10.1101/188409,10.1101/188409,2017,bioRxiv (Cold Spring Harbor Laboratory),0,q2,q2:239:8.0*,Stochastic dispersal increases the rate of upstream spread: a case study with green crabs on the northwest Atlantic coast,"Abstract Dispersal heterogeneity is an important process that can compensate for downstream advection, enabling aquatic organisms to persist or spread upstream. Our main focus was the effect of year-to-year variation in larval dispersal on invasion spread rate. We used the green crab, Carcinus maenas , as a case study. This species was first introduced over 200 years ago to the east coast of North America, and once established has maintained a relatively consistent spread rate against the dominant current. We used a stage-structured, integro-difference equation model that couples a demographic matrix for population growth and dispersal kernels for spread of individuals within a season. The kernel describing larval dispersal, the main dispersive stage, was mechanistically modeled to include both drift and settlement rate components. It was parameterized using a 3-dimensional hydrodynamic model of the Gulf of St Lawrence, which enabled us to incorporate larval behavior, namely vertical swimming. Dispersal heterogeneity was modeled at two temporal scales: within the larval period (months) and over the adult lifespan (years). The kernel models variation within the larval period. To model the variation among years, we allowed the kernel parameters to vary by year. Results indicated that when dispersal parameters vary with time, knowledge of the time-averaged dispersal process is insufficient for determining the upstream spread rate of the population. Rather upstream spread is poss"
doi:10.26076/2b70-3d47,10.26076/2b70-3d47,2021,Digital Commons - USU (Utah State University),0,q2,q2:23:14.0*,Modeling the Spread of Alfalfa Stem Nematodes: Insights into their Dynamics and Control,"Alfalfa is a major cash crop in the western United States, where fields that are infested with the alfalfa stem nematode (Ditylenchus dipsaci) can be found. With no nematicides available to control alfalfa stem nematode spread, growers can use nematode resistant varieties of alfalfa to manage nematode populations in a field. A deterministic, discrete-time, host-parasite model is presented that describes the spread of alfalfa stem nematodes on resistant hosts that was fit to experimental data obtained in Weber County, Utah. Numerical results obtained from simulations with the model are used to compare how varying levels of resistance can affect harvest yield. Resistant varieties can also affect the invasion speeds of epidemics in crops. A continuous time, spatial model is presented that describes how these resistant varieties affect invasion speeds in general crop systems. Speeds of traveling wave fronts are determined for simple epidemics in crops that contain a mixture of resistant and non-resistant hosts. For the model, it was found that the wave speeds will slow down as highly nematode resistant varieties of alfalfa are used. The speed of invasion for the alfalfa stem nematode can be determined by using a mathematical relationship that is know as the contact distribution. We present a spatial model for the spread of alfalfa stem nematodes that uses a Gaussian distribution as the contact distribution of the alfalfa stem nematodes, which was determined by experimental data. "
